,job_description,size,activity,language,Machine Learning,Deep Learning,NLP,Business Intelligence,Data Analytics,Cloud Computing,Big Data Frameworks,Statistics,Time Series,Database Management,Data Extraction,Data Mining,Python/R,SQL,NoSQL,Java/JavaScript,C/C++,Scala,SAS,Recommendation Systems,MLOps,DevOps,Flask,Optimization
1," posted by michelle ann lita global sourcing specialist at telus international ai | actively hiring | let's connect! | add me in your connections | providing remote work opportunities! send inmail telus international ai-data solutions partners with a diverse and vibrant community to help our customers enhance their ai and machine learning models. the work of our ai community contributes to improving technology and the digital experiences of many people around the world. our ai community works in our proprietary ai training platform handling all data types (text, images, audio, video and geo) across 500+ languages and dialects. we offer flexible work-from-home opportunities for people with passion for languages. the jobs are part-time, and there is no fixed schedule. whoever you are, wherever you come from, come join our global ai community. www.telusinternational.com we are hiring freelance swedish/english speaking online data analyst for a project aimed at improving the content and quality of digital maps, which are used by millions of users globally. the job would suit someone who is detail-oriented, likes doing research and has a good knowledge of national and local geography. this is a freelance position on a flexible schedule of up to 20 hours per week - you can work in your own time whenever work is available. you will be completing research and evaluation tasks in a web-based environment, eg verifying and comparing data, determining the relevance and accuracy of information. you will be provided with guidelines for each task, which need to be followed. the project offers a variety of tasks, and work is paid per task. requirements:fluency in english and swedishyou must be living in sweden/united kingdom for the last 2 consecutive yearsyou must have familiarity with current and historical business, media, sport, news, social media and cultural affairs in sweden/united kingdombeing open to work across a diverse set of task types (e.g. news, audio tasks, relevance)ability to follow guidelines and do research online using search engines, online maps and website informationapplicants must be 18 years or over. id verification must be attached when submitting your application. interested? please follow the steps below to apply:1. create an account here:swedish (sweden) - https://www.telusinternational.ai/cmp/contributor/jobs/available/196english (united kingdom) - https://www.telusinternational.ai/cmp/contributor/jobs/available/2022. click ""sign up"" and answer the necessary fields.3. check your email inbox to confirm your email and set up your password and account.4. once you complete the registration process, click the ""apply"" button to start your application process for the project. working on this project will require you to go through a standard recruitment process (including passing an open book assessment). this is a long-term project and your work will occasionally be subject to quality assurance checks. why join the telus international ai community?earn extra incomeaccess to our community wellbeing initiativeremote work & location independencebe your own boss "," 10,001+ employees ", IT Services and IT Consulting ,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2," here at the ft, gold-standard journalism is just the beginning. 500-people strong, our product and tech team keeps us ahead of the ever-changing digital landscape by delivering cutting-edge products to over one million digital subscribers every day. our plans for growth rely on a diverse, dedicated and dynamic group of product, tech, delivery and data specialists - everyone’s welcome in this friendly, forward-thinking team. and with entrepreneurial spirit, intelligence and opportunity at every turn, there’s no limits to where your ft career will take you. we think the financial times is a great place to work: we have a technical stack that is cutting edge - employing cloud-based, microservices architectures and using a wide range of open source and commercial technologies; our product development methodologies are very current - using a data-driven approach, empowering everyone to understand and to delight our customers; our engineers are free to choose the tools they need and are able to influence the development process. importantly, we ensure staff also have the ability to achieve a good work life balance. position summary an exciting opportunity for a data intern to join the product & technology department, of a growing business and a globally recognised brand. working with the team in sofia, or in distributed teams in london and sofia, you will be part of a team that owns the end-to-end data architecture which is focused on enabling all business functions to take data driven decisions. your team will have the autonomy, within defined guard rails, to select the tools and technologies needed to build and operate services responsible for ft brand data capabilities. we are looking for someone who is comfortable with the ever changing technical landscape and is keen to contribute to the company’s processes and broader know-how would thrive in this role. in this role you will work within an agile data team to design and implement data tracking solutions across a multitude of titlesparticipate in the design and build phases of the overall data architecture, which meets both analysts’ and stakeholders’ expectations in terms of usabilitydevelop a close relationship with many departments across the organisation and provide operational support within and outside of the analytical team essential role requirements: basic understanding of the concepts of data warehouse and data pipeline management basic understanding and interest in website data tracking basic understanding of tag management systems (google tag manager)basic understanding of sqlan open mind to explore new ideas and the willingness to learngood command of written and spoken english desirable industry certificate in a key platform, tool or domain used within engineering at the ft. understand the principles of agile software development methodologya keen interest in keeping up with the current trends in technology concerning database technologies (aws/cloud-based/in-memory etc.) , scripting languages, big data technologies. our benefits package includes 25 days annual paid leave24/7 employee assistance programlife insurance (after first 6 months)enhanced maternity and paternity leave policyfood vouchersmultisport cardwork-life balance and work from home practiceboth in house and external training programsyour own training dedicated budget (for conferences, courses etc.) the financial times ltd. committed to equality of opportunity. we are determined to create a diverse group at all levels of our company and we welcome all members of the community we serve to apply for openings with us. "," 1,001-5,000 employees ", Newspaper Publishing ,en,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4," about nexans nexans is a global player in energy transition. our purpose: electrify the future. for over a century, nexans has played a crucial role in the electrification of the planet. with around 25,000 people in 38 countries, the group is leading the charge to the new world of electrification: safer, sustainable, renewable, decarbonized and accessible to everyone. in 2020, nexans generated 5.7 billion euros in standard sales. for more information, please visit www.nexans.com apprentice - data analyst (h/f) organization function : data analystcountry : francelocation : paris context nexans ambition is to be data driven company. data is a power allowing making the right decisions and enabling the company to grow in the value chain going from cables manufacturer to digital based company for world electrification path. data analyst’s job is to interpret data and turns it into information which can offer ways to improve our business, thus affecting business decisions. his mission is to gather information from various sources and interpret patterns and trends. once data gathered, structured and interpreted, the data analyst will report back what has been found in a comprehensive restitution to the wider business population. purpose collect and analyze datacheck data quality and answer business requirements with the right level of restitution missions collect and analyze dataanalyze and check resultsreporting the results back to the relevant members of the businessidentify patterns and trends in data setswork with the business teams or the management team to establish business needsdefine and document data collection and analysis processes expected results work on data analysis in line with nexans 3 years strategic planwork in collaboration with both developers and business leaders skills and qualifications required business school/digital school data science and analytics at nexans, we recognize the differences that make each employee valuable and unique. the diversity of experiences, origins, personalities, gender and disability are considered key to our global ambition to lead the world in energy transition towards a sustainable planet. this is why we encourage diversity in our recruitment - bring yours to nexans, it is welcome! "," 10,001+ employees "," Electric Power Transmission, Control, and Distribution ",en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5," posted by jof cullano sourcing specialist from appen send inmail help improve machine speech recognition for dutch (netherlands). listen to audio files and categorize them following the provided guidelines and conventions. join us now! requirements:must live in netherlandsmust be an english speakermust pass the project’s qualification quiz please follow the steps below on how to apply for the project: 1. visit the appen website.2. choose dutch (netherlands) as your primary language.3. complete the registration page and click the submit application button to create your account4. once your account has been created, click the 'all projects' tab and look for this project.5. choose the ""apply"" button to start your qualification to the project. don’t miss the chance to earn extra income working from the comfort of your own home. this is a great opportunity for you and your friends!• work from home with flexible hours• you can work on our projects around your other jobs a diverse, inclusive culture is vital to our mission of helping build better ai. we offer opportunities for individuals of all abilities and backgrounds. thank you and we hope to work with you soon! "," 501-1,000 employees ", IT Services and IT Consulting ,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7," junior data operations analyst sql/ excel shorter term 2 month contract ( possibility to extend) fully remote minimum tampa 1g key responsibilities: you will be responsible for understanding a client’s business, the data used to support it, ensuring business continuity of data intensive operations. key responsibilities include: understanding the client’s business and the data that supports itmaintenance of data intensive operational processestroubleshooting data quality problemsenhancements of existing report automationmake sure the data platforms and processes are running well, both in data collection, integration and processingmonitor and manage data quality processes and data integrationsperform corrective and evolutive maintenance of all the data exchange and data solution processesresponsible for the quality and security of dataensure the quality of service; responsible for user support and help desk required skills: basic knowledge of google apps script: read data from spreadsheets, transform data in code, write data to spreadsheets. basic knowledge of sql: select, insert into experience with creating reports. sql / excel ", 201-500 employees , Staffing and Recruiting ,en,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9," about nexans nexans is a global player in energy transition. our purpose: electrify the future. for over a century, nexans has played a crucial role in the electrification of the planet. with around 25,000 people in 38 countries, the group is leading the charge to the new world of electrification: safer, sustainable, renewable, decarbonized and accessible to everyone. in 2020, nexans generated 5.7 billion euros in standard sales. for more information, please visit www.nexans.com apprentice - junior is controller / data scientist (h/f) organization function : is country : worldwidelocation : courbevoiesupervisor : is f&a manager context review the analytical structure of is financial reportingprocesses and organizationautomatization & follow new is costing model keys purpose support global is reporting reviewbuild an internal benchmarkdesign and model the is service costing behavior depending global trend support it is for finance project (new costing model) areas of responsibility produce monthly reporting package (consolidation of data, forecasting and comparison with budget) support is team to produce and follow their monthly reporting participate to consistency checkssetup benchmarking between entities, functions and external references,participate to the invoicing to is internal customers build an is data modelling depending on global trendparticipate to follow abc costing model keydesign a digital dashboardfollow financial steering dashboard. expected results implement the new reporting (following allocation keys costing model)produce on due time monthly and quarterly follow is cost / keys evolution position sizing worldwide reporting of 80 meur cash-out (capex and opex) required skills and qualifications autonomousrigorousdeterminedgood communication skillsappetite for controlling and data scientist position at ease with pack office (especially xl, ppt is a plus)strong affinity with tool manipulation especially bi tools, power bi at nexans, we recognize the differences that make each employee valuable and unique. the diversity of experiences, origins, personalities, gender and disability are considered key to our global ambition to lead the world in energy transition towards a sustainable planet. this is why we encourage diversity in our recruitment - bring yours to nexans, it is welcome! "," 10,001+ employees "," Electric Power Transmission, Control, and Distribution ",en,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11," as a member of our global team for enterprise data & advanced analytics, you work on challenging projects from all areas of the energy industry. through combining strategic and business insights with the latest data science techniques, you help our business to drive maximum value from data and develop analytics solutions, that provide strategic advantages in their day-to-day operations. passionate about the environment and climate change? ready to be part of the future of the energy transition? the siemens energy data analytics & ai team plays a significant role in driving the energy transformation. honestly, we don’t have all the answers. honestly, given the scale of the challenge we need many types of perspectives to help reimagine the future. and honestly, we can’t do it alone. our team is looking for innovative, enthusiastic, and versatile data, digital, and ai professionals that will drive us forward on this exciting venture. let’s talk about you your profile university degree in computer science, mathematics, physics, engineering, or related fieldexcellent analytical skills and profound expertise in data science, machine learning, artificial intelligence methodsprogramming skills in python and/or r, good knowledge in the application of statistical modeling, experience in deployment and cloud computingstrong customer focus and excellent interpersonal skills, open-minded and willing to learnability to effectively collaborate in multidisciplinary, multinational, global teamsfluent in written and spoken english, excellent communication and presentation skillsenthusiastic about data and analytics and driving the use of data across all parts of a business and ecosystem your responsibilities develop advanced analytics solutions leveraging artificial intelligence and machine learning techniques for application along the value chainwork in cross-organizational, multi-disciplinary teams supporting application and implementation of new data science and ai/ml conceptsdrive the roll-out of ai/ml across the company through knowledge sharing, mentoring, supporting technical trainings be up to date on latest developments in data science and ai/ml principles and theories to help the business make truly data-driven decisionscollaborate in a partner ecosystem across industry and academia to drive research and leverage know-how in this field document the developed methods and processes and present results to stakeholders across the organization on a regular basis let’s talk about us at siemens energy, we are more than just an energy technology company. we meet the growing energy demand across 90+ countries while ensuring our climate is protected. we provide the power to bring heat and light to our cities. we help our customers to save millions of tons of co2 each year. that way we not only contribute, but actively drive the energy revolution for a better and greener future. check out this video to see what we do here! https://bit.ly/3ifnlar the data & analytics organization has been established and designed to help siemens energy achieve our mission by becoming a data driven organization. treating and using data as a strategic asset enables us to support customers in transitioning to a more sustainable world, by using innovative technologies and bringing ideas into reality. more insights lucky for us, we are not all the same. through diversity, we generate power. we run on inclusion and compassion. our combined energy is fueled by at least 130 nationalities. siemens energy celebrates character – no matter what ethnic background, gender, age, religion, identity, or disability. let’s make tomorrow different today! jobs & careers: https://www.siemens-energy.com/global/en/company/jobs.html we value equal opportunities and welcome applications from people with disabilities. "," 10,001+ employees ", Renewable Energy Semiconductor Manufacturing ,en,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12," data analyst venlo, netherlands 60,000 - 65,000 this is a unique opportunity to join an exciting company working within brand development. the company with multiple decades' experience in the industry, the company has become well trusted by its clients to help companies set themselves apart from their competitors by assisting in all aspects of brand development; assisting in analytics and insight, product development, and account management. the company works specifically within the private brand industry, an industry that is in increasing demand, the company helps organizations to boost their brand's presence. the role you will sit in the product category team providing vital insight into the company's performance, your position will include. developing and maintaining dashboards to help support day to day operations.assist with data collection.give key insight into a variety of areas including in the areas of e - commerce, sales and supply chains.working with pricing strategies. requirements excellent knowledge of sql.a minimum of 2 years' experience in a data analytics or similar position.knowledge of etl processes in a bonus.experience with a data visualization tool. benefits exciting and challenging tasks within a constantly developing organization.join an international team within a company in an exciting industry. ", 201-500 employees , Staffing and Recruiting ,en,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16," dupont is accepting applications for a full-time position as a data scientist. this is an exciting opportunity to join a growing team that plays a vital and dynamic role in the company. dupont is a market leader in specialty materials for electronic devices, housing construction, protective garments, and water purification. in this role, the data scientist will collaborate with clients within the company engaged in a variety of research & development, manufacturing, and business activities. responsibilities description statistics and data science are integral to our business and there are exciting opportunities for technical contributions in a variety of areas. your key responsibilities will be new product development.continuous improvement in manufacturing.sales growth and forecasting.supply chain optimization.text analytics for competitive analysis.product testing in field applications. a strong candidate will have expertise in data science practices such as data cleaning, regression, machine learning, and cross-validation. the applicant should have fluent coding skills in r or python with the ability to prepare data for analysis, build models, and create descriptive plots and reports. beyond these technical skills, the job requires an organized worker who can plan a data analysis activity as a series of logical steps, effectively communicate their methods and results to clients in the business and collaborate with our data engineering and software development teams to query data and deploy models. job qualifications a successful candidate must have ms degree+ 2 plus years of experience or a phd degree or a in science & engineering technical field.fluent in english.strong coding skills in r or python including data preparation, regression, and plotting.formal education in statistics, including regression and hypothesis testing.expertise in machine learning and deep learning techniques in clustering, classification and neural network with emphasis on supervised learning, e.g. random forest, xgboost, lasso, cross-validation, hyperparameter tuning, neural networks.basic competency with sql database queries and visualization prototyping.research experience in applying statistics and data science to solve business, engineering, or scientific problems. why should you join us? you would have the opportunity to join an industry-leading science company with technology-based and sustainable materials, ingredients and solutions, sustaining a solid reputation for safety and technology leadership. key part of our success is innovation and we see people as a fundamental pillar to succeed in this. additionally, diversity, equity and inclusion are central to our high-performing culture. key reasons for you to apply highly competitive compensation package.an industry-leading benefits package and variable incentives.numerous learning and personal development opportunities.an amazing career journey with opportunities within our diverse businesses & projects.flexible working model & flexible schedule. dupont is an equal opportunity employer. qualified applicants will be considered without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability or any other protected class. if you need a reasonable accommodation to search or apply for a position, please visit our accessibility page for contact information. for us applicants see the “equal employment opportunity is the law” poster at http //www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf for our u.s. affirmative action policy, click here. "," 10,001+ employees ", Industrial Machinery Manufacturing ,en,1,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
18," job descriptiondata scientist – pfizer graduate programmethe award-winning pfizer ringaskiddy, cork site is seeking candidates for the 2022 graduate programme, currently in its 16th year. the site plays a critical strategic role within pfizer, being one of the default sites for new global api product scale up and launch campaigns. colleagues on site use state of the art equipment and leading-edge technology, as well as work collaboratively with research and development and our global network in order to provide the highest quality products to the patient. the site is also undergoing a digital transformation and is strategically designated as a digital lighthouse site for the network.about the graduate programmethis is an amazing opportunity to progress your career with one of the largest and most successful bio pharma organisations in the world. a significant number of graduates who have previously completed the graduate programme at the pfizer ringaskiddy site have gone on to have very successful careers in pfizer both at local site and global levels. during the 2-year programme, participants will take part in a structured rotation in various departments (business excellence, supply chain and finance) across the ringaskiddy site. the site has a strong coaching culture, and a structured mentoring programme is provided. full training will be provided by a comprehensive induction programme. during the two-year programme, participants will be involved in the following:-one-year induction programmestructured mentoring & coaching – objective setting during each assignment. attend management training programmes.cpd 6 module professional training programme.attend and present at senior executive meetings e.g., communications meetings, cross site teams, leadership team meetings.support cost improvement projects for key api manufacture processes.lead and support various data science business improvement projectsthe successful candidates should:- be completing or just completed an honours degree or msc. in mathematical science / data science/ data analytics.have a willingness to learn and be challenged. "," 10,001+ employees ", Pharmaceutical Manufacturing ,en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
